name,latitude,longitude,country
O Barco de Valdeorras,42.4182,-6.98493,ES
Badajoz,38.890867,-6.981822,ES
Blanes,41.673431,2.769158,ES
Bobadilla,37.037445,-4.727831,ES
Barcelona Placa de Catalunya,41.387702,2.169285,ES
Barcelona Passeig de Gracia,41.392089,2.164755,ES
Barcelona Sants,41.378911,2.140367,ES
Barcelona Estacio de Franca,41.383657,2.186733,ES
Burgos,42.35,-3.7,ES
Bustarviejo-Valdemanco,NA,NA,ES
Cadiz,36.527945,-6.286893,ES
Caceres,39.461197,-6.385972,ES
Canfranc,NA,NA,ES
Calella,41.614536,2.666028,ES
Caldas de Malavella,41.841181,2.800607,ES
Cantalapiedra,41.133361,-5.183665,ES
Oza de los Rios,43.218149,-8.18706,ES
Caminreal-Fuentes Claras,40.850777,-1.338673,ES
Ciudad Rodrigo,40.618648,-6.520316,ES
Castellon de la Plana,39.988262,-0.052083,ES
Castejon de Ebro,42.172811,-1.692156,ES
Cuenca,40.070409,-2.137628,ES
Cieza,38.246503,-1.42141,ES
San Sebastian-Donostia,43.317668,-1.976781,ES
Torrelodones,40.574313,-3.956566,ES
Viana,41.524842,-4.754754,ES
Fuentes de Onoro,NA,NA,ES
Fuentes de Onoro,40.598737,-6.824583,ES
Fuengirola,36.5418,-4.62403,ES
Figueres,42.264951,2.969271,ES
Fuente de San Esteban Boadilla,40.792763,-6.249765,ES
Flassa,42.047537,2.957235,ES
Gascones-Buitrago,NA,NA,ES
Guadix,37.3178,-3.127284,ES
Brenes,37.5463,-5.86677,ES
Granollers Centro,41.599308,2.29162,ES
Girona,41.979516,2.816482,ES
Granada,37.183906,-3.609061,ES
Irun,NA,NA,ES
Jaen,37.780223,-3.790975,ES
A Coruna-San Cristovo,43.352681,-8.409651,ES
Leon,42.595888,-5.582382,ES
Lugo,43.015307,-7.55226,ES
Valdestillas,41.489083,-4.772633,ES
Madrid,40.416824,-3.703733,ES
Madrid Principe Pio,40.421272,-3.718846,ES
Madrid Vallecas,NA,NA,ES
Madrid Villaverde,NA,NA,ES
Madrid Atocha,40.405963,-3.689757,ES
Madrid-Chamartin-Clara Campoamor,40.472151,-3.68235,ES
Medina del Campo Estacion,41.317676,-4.910474,ES
Miranda de Ebro,42.690554,-2.94091,ES
Murcia,37.974489,-1.131499,ES
Cordoba,37.888714,-4.789353,ES
Port Aventura,41.089251,1.146214,ES
Plasencia Ciudad,40.021639,-6.099738,ES
Pamplona/Iruna,42.825122,-1.661889,ES
Port-Bou,NA,NA,ES
Tarragona Estacio,41.111212,1.253527,ES
Ribas de Freser,NA,NA,ES
Redondela de Galicia,42.286165,-8.61945,ES
Las Rosas,NA,NA,ES
San Fernando de Cadiz,36.4758,-6.19444,ES
Salamanca,40.971547,-5.648659,ES
Sevilla,37.389254,-5.984458,ES
Camp Tarragona,41.192025,1.271587,ES
Torremolinos,36.6225,-4.49931,ES
Tui,42.0565,-8.64302,ES
Valencia de Alcantar,NA,NA,ES
Venta de Banos,41.9172,-4.49604,ES
Vigo,42.236541,-8.713736,ES
Valencia Estacio Nord,39.466932,-0.377151,ES
Figueras (Figueres),NA,NA,ES
Figueres-Vilafant,42.26478,2.943023,ES
Zaragoza Delicias,NA,NA,ES
Zaragoza Delicias,41.658439,-0.909906,ES
Valencia,39.470036,-0.376279,ES
A Albergueria-Prado,42.1257,-7.5126,ES
A Escravitude,42.739,-8.65259,ES
A Friela-Maside,42.411637,-8.028661,ES
A Gudina,42.060841,-7.132482,ES
A Mezquita-Vilavella,42.0442,-7.01972,ES
A Pobra do Brollon,42.533714,-7.399964,ES
Abejera,41.809845,-6.142913,ES
Ablana,43.267616,-5.806411,ES
Malaga Aeropuerto,36.675646,-4.487032,ES
Ager,42.006034,0.849471,ES
Agoncillo,42.443818,-2.29144,ES
Agres,38.797002,-0.521787,ES
Aguadulce Bus,36.81386,-2.573793,ES
Aguilar de Campoo,42.785606,-4.233388,ES
Aguilar de Segarra,41.738623,1.632503,ES
Agullent,38.830514,-0.551443,ES
Alagon,41.771488,-1.11246,ES
Alamedilla-Guadahortuna,37.5802039,-3.3029375,ES
Alanis,37.99666,-5.758413,ES
Alar del Rey-San Quirce,42.6568,-4.31138,ES
Albaida,38.845787,-0.518587,ES
Albatera-Catral,38.166885,-0.838289,ES
Albuixech,39.543296,-0.320564,ES
Alcala de Henares,40.489087,-3.366226,ES
Alcala de Xivert,40.303441,0.228874,ES
Alcala Henares-Universidad,40.505348,-3.335267,ES
Alcanadre,42.407681,-2.121939,ES
Alcantarilla,37.972189,-1.215776,ES
Alcantarilla los Romanos,37.964053,-1.216977,ES
Alcazar de San Juan,39.395477,-3.206209,ES
Alcoletge,41.654719,0.68644,ES
Alcover,41.261575,1.17426,ES
Alcoi,38.709645,-0.470144,ES
Aldaia,39.461,-0.463239,ES
Aldealengua,40.979601,-5.553158,ES
Alfafar-Benetusser,39.422409,-0.392765,ES
Alfaro,42.186295,-1.747745,ES
Algemesi,39.192941,-0.441082,ES
Alhama de Aragon,41.294439,-1.901838,ES
Alhama de Murcia,37.84935,-1.414452,ES
Aljucen,38.936281,-6.407564,ES
Almadenejos-Almaden,38.740433,-4.730393,ES
Almagro,38.895434,-3.708976,ES
Almansa,38.867675,-1.105619,ES
Almargen-Canete la Real,37.001038,-5.020358,ES
Almazora,39.954858,-0.076668,ES
Almazan,41.4891,-2.52545,ES
Almenara,39.748735,-0.218141,ES
Almendralejo,38.684718,-6.399582,ES
Almonaster-Cortegana,37.900975,-6.797319,ES
Almoraima,36.277326,-5.429763,ES
Almorchon,38.69653,-5.290115,ES
Almuradiel-Viso del Marques,38.5143,-3.50189,ES
Alora,36.819906,-4.698823,ES
Alpedrete-Mataespesa,40.658057,-4.035122,ES
Altafulla-Tamarit,41.136562,1.373318,ES
Aeropuerto Alacant-Altet Bus,38.287366,-0.559905,ES
Altsasu Pueblo,42.894789,-2.181187,ES
Alzira,39.15346,-0.451042,ES
Ametzola,43.254726,-2.943409,ES
Amusco,42.178106,-4.480592,ES
Andujar,38.028173,-4.065847,ES
Anglesola,41.638573,1.036384,ES
Antequera,37.020055,-4.55936,ES
Anzanigo,42.403393,-0.645686,ES
Araia,42.869394,-2.30656,ES
Aranguren (Biscay),43.21049,-3.111031,ES
Aranguren Apeadero,43.210823,-3.115876,ES
Aranjuez,40.0347,-3.618877,ES
Aravaca,40.448581,-3.785627,ES
Aranales de Muel,41.468048,-1.087479,ES
Arbo,42.106866,-8.300225,ES
Arcade,42.34046,-8.610623,ES
Archena-Fortuna,38.127647,-1.233517,ES
Arcos de Jalon,41.216026,-2.277686,ES
Areas,42.458093,-7.629261,ES
Arenas de Iguna,43.185518,-4.050341,ES
Arenys de Mar,41.577465,2.549457,ES
Arevalo,41.047613,-4.702005,ES
Arguisuelas,39.838537,-1.811838,ES
Arija,42.991018,-3.947657,ES
Ariza,41.309478,-2.059662,ES
Arla-Berron,43.166101,-3.228278,ES
Arriate,36.790592,-5.141164,ES
Arriondas,43.387523,-5.18851,ES
Arroyo-Malpartida,39.46829,-6.53478,ES
Arrubal,42.431,-2.2561,ES
Artzentales,43.236624,-3.212778,ES
As Neves,42.075415,-8.420145,ES
Asamblea de Madrid Entrevias,40.381695,-3.668008,ES
Asco,41.183144,0.569277,ES
Astillero,43.404513,-3.822375,ES
Astun,42.80922,-0.509082,ES
Ateca,41.324571,-1.785608,ES
Ayerbe,42.275414,-0.682452,ES
Azaila,41.2749,-0.485392,ES
Azuqueca,40.561153,-3.265439,ES
Babilafuente,40.972167,-5.430311,ES
Badules,41.139789,-1.251541,ES
Baides,41.004942,-2.786125,ES
Balaguer,41.792496,0.80795,ES
Balmaseda,43.191163,-3.195818,ES
Balmori,43.421413,-4.835621,ES
Balsicas-Mar Menor,37.818346,-0.951427,ES
Barallobre,43.462673,-8.188435,ES
Barbantes,42.338491,-8.011429,ES
Barbastro,42.035417,0.120653,ES
Barbera del Valles,41.513479,2.118397,ES
Barcelona la Sagrera Meridiana,41.422958,2.186778,ES
